!!NAME	NICK NAME
BENGTA	BEN
BENGTHA	BEN
BENJAMIN	BEN
BENJAMIN	BENJIE
BENJAMIN	BENNIE
BENJAMIN	JAMIE
BERTRAM	BERT
BERTHA	BERTIE
BETHENA	BETH
BETHENA	THANEY
BEVERLY	BEV
BEZALEEL	ZEELY
BLANCHE	BEA
BOETIUS	BO
BRENDA	BRANDY
BRIDGET	BIDDY
BRIDGET	BRIDIE
BRIDGET	BRIE
BRIDGET	DELIA
BRIAN	BRYAN
BRIAN	BRYANT
BRITTANY	BRITT
CALDONIA	CALLIE DONA
CALEB	CAL
CALIFORNIA	CALLIE
CALISTA	KISSY
CALPURNIA	CALLY
CALVIN	CAL
CAMERON	CAM
CAMILLE	CAMMY
CAMILLE	MILLIE
CAMPBELL	CAM
CANDACE	CANDY
CANDACE	DACEY
CARL	CHARLES
CARL	KARL
CARLOTTA	LOTTIE
CARMON	CARM
CARMON	CAMMIE
CARMON	CHARM
CARMELLIA	MELLIA
CAROLINE	CADDIE
CAROLINE	CAROL
CAROLINE	CARRIE
CAROLINE	CASSIE
CAROLINE	LENA
CAROLINE	LYNN
CAROLYN	CADDIE
CAROLYN	CAROL
CAROLYN	CARRIE
CAROLYN	CASSIE
CAROLYN	LENA
CAROLYN	LYNN
CARTHAETTE	ETTA
CARTHAETTE	ETTY
CASPER	JASPER
CASSANDRA	CASS
CASSANDRA	CASSIE
CASSANDRA	CASSEY
CASSANDRA	SANDI
CASSANDRA	SANDRA
CASWELL	CASS
CATHERINE	CATHY
CATHERINE	KAREN
CATHERINE	KATHARINE
CATHERINE	KATIE
CATHERINE	KATHLEEN
CATHERINE	KAY
CATHERINE	KIT
CATHERINE	KITTIE
CATHERINE	RHYNIE
CATHERINE	RINA
CATHERINE	RINE
CATHERINE	TRINA
CATHLEEN	CATHY
CATHLEEN	KAREN
CATHLEEN	KATHARINE
CATHLEEN	KATIE
CATHLEEN	KATHLEEN
CATHLEEN	KAY
CATHLEEN	KIT
CATHLEEN	KITTIE
CATHLEEN	RHYNIE
CATHLEEN	RINA
CATHLEEN	RINE
CATHLEEN	TRINA
CECILIA	CELIA
CECILIA	CISSY
CELESTE	CELIA
CELESTE	LESSIE
CELINDA	LINDA
CELINDA	LINDY
CELINDA	LYNN
CHARITY	CHAT
CHARLES	BUCK
CHARLES	CARL
CHARLES	CHAD
CHARLES	CHARLIE
CHARLES	CHICK
CHARLES	CHUCK
CHARLOTTE	CAR
CHARLOTTE	CARLOTTA
CHARLOTTE	LETTY
CHARLOTTE	LOTTA
CHARLOTTE	LOTTIE
CHAUNCEY	CHANCE
CHESLEY	CHET
CHESTER	CHET
CHLOE	CLO
CHRISTIAN	CHRIS
CHRISTIAN	CHRISTOPHER
CHRISTIAN	KIT
CHRISTINE	CHRIS
CHRISTINE	CRISSY
CHRISTINE	CHRISTY
CHRISTINE	INA
CHRISTINE	TINA
CHRISTINE	XINA
CHRISTIANA	CHRIS
CHRISTIANA	CRISSY
CHRISTIANA	CHRISTY
CHRISTIANA	INA
CHRISTIANA	TINA
CHRISTIANA	XINA
CHRISTOPHER	CHRIS
CHRISTOPHER	CHRISTIAN
CHRISTOPHER	KESTER
CHRISTOPHER	KIT
CICELY	CILLA
CINDERELLA	ARILLA
CINDERELLA	CINDY
CINDERELLA	RILLA
CINDERELLA	RELLA
CLARA	CLAIRE
CLARA	CLARICE
CLARA	CLARISSA
CLARENCE	CLAY
CLARINDA	CLARA
CLARISSA	CLARA
CLARISSA	CLARE
CLARISSA	CISSY
CLAUDIA	CLAUD
CLEATUS	CLEAT
CLEMENTINE	CLEM
CLIFFORD	CLIFF
CLIFFORD	FORD
CLIFTON	CLIFF
COLE	COLIE
COLUMBUS	LUM
CONSTANCE	CONNIE
CORDELIA	CORDY
CORDELIA	DELIA
CORY	COCO
CORY	CORDY
CORY	REE
COREY	COCO
COREY	CORDY
COREY	REE
CORINNE	CORA
CORINNE	ORA
CORNELIA	CONNY
CORNELIA	CORNY
CORNELIA	NEELY
CORNELIA	NELLE
CORNELIA	NELLY
CORNELIUS	NEIL
CORNELIUS	NEELY
COURTNEY	CORKY
COURTNEY	COURT
COURTNEY	CURT
CRYSTAL	CHRIS
